pmid,title,abstract,authors,year,journal,search_label,decision
42151625,"Which religious and personal characteristics predict attitudes toward gene editing? Findings from a survey of 4,939 adults in the U.S.","We explored whether major religious groups' attitudes toward gene editing differ, as well as what specific religious and personal characteristics predict attitudes toward gene editing. We administered a survey to a sample of U.S. adults (N = 4939), including stratified samples of nine major religious and non-religious groups. We assessed participants' religious affiliation, beliefs, and practices, and their attitudes (i.e., support and concerns) toward gene editing. Participants generally supported gene editing but also reported moderate levels of concerns. Atheist participants reported the highest support, while Mainline Protestants reported the lowest. Muslim participants reported the highest concerns, while atheist participants reported the lowest. Views on evolution and the healthcare values of their spiritual community predicted support, while views on evolution, beliefs that one's body is a manifestation of God, and religious discrimination predicted concerns. The strongest predictors of attitudes were distrust and genetic knowledge, with higher genetic knowledge predicting lower support. While religious affiliation predicts attitudes toward gene editing, generalizations must be avoided given the range of attitudes within each group. Additionally, education alone is unlikely to increase support for gene editing. Fostering trust among religious groups is essential to ensuring that their decisions reflect their values and priorities, rather than being driven by distrust of the healthcare system. Better understanding religion's impact on attitudes toward gene editing may facilitate appropriate genetic counseling and inform policymaking efforts.",Solomon Erin D; Chin Eu Gene; Baldwin Kari; Baker Lauren L; DuBois James M,2026,Journal of community genetics,Islamic bioethics / genomic consent — supplementary,pending
41788410,"Geneticization outside genetics' birthplace: ethical, legal and social implications in the Gulf Cooperation Council region.","Geneticization refers to the growing tendency to explain health, behavior, and identity primarily through genetic terms, often at the expense of social, environmental, and cultural factors. This paper offers a novel contribution to the global discourse on geneticization - a phenomenon extensively examined in Western, predominantly secular contexts, by critically analyzing its ethical, legal, and social implications (ELSI) within the Muslim-majority societies of the Gulf Cooperation Council (GCC) region. As genetic screening programs such as prenatal, newborn, and premarital screening (PMS) gain traction across the GCC countries, often supported by advanced technologies like whole genome sequencing and whole exome sequencing, they encounter not only globally recognized concerns but also distinct religio-ethical and socio-cultural challenges that necessitate engagement with Islamic moral frameworks. Drawing on a close analysis of interdisciplinary literature, the study identifies key ethical tensions surrounding theological sensitivities, informed consent, individual autonomy, genetic discrimination, stigmatization, eugenics, and the management of incidental findings. The paper further highlights legal inconsistencies in PMS mandates and the evolving regulatory landscape governing genomic research across the region. Social implications including high rates of consanguinity, varying levels of public awareness, and community reception of screening programs underscore the need for culturally responsive approaches that align with local values and norms. By foregrounding these region-specific dynamics, this paper advances a more contextually grounded and ethically attuned understanding of geneticization beyond its Western foundations. In doing so, it offers new perspectives for navigating the ELSI of genomics in the GCC, with broader relevance to the Arab world.",Shaheen Safa; Ghaly Mohammed,2026,Frontiers in genetics,Islamic bioethics / genomic consent — supplementary,pending
41625625,Human cognitive enhancement and reprogenetic technologies in Malaysia - A survey study of local Muslim undergraduate students' viewpoints.,"Newly emerging human enhancement technologies such as brain chip implants, CRISPR-Cas9-based gene editing, and polygenic embryo screening (PES) alongside preimplantation genetic testing (PGT-P) are highly controversial in Islam. However, the prevailing sociocultural dynamics encourage their uptake. In the current era of declining fertility rates, increased parental investment in fewer children has resulted in a flourishing tuition industry, accompanied by heightened academic pressure on students and widespread parental anxiety. These emerging technologies can be employed for cognitive enhancement, thereby providing an expedient solution for parents and students navigating a highly competitive educational environment. To inform and facilitate future policy decision-making, an online survey was conducted among 575 undergraduate Muslim students at the International Islamic University Malaysia (IIUM) to assess their perspectives and opinions regarding these newly emerging technologies. The findings indicated a significant level of opposition among respondents to the uptake of human enhancement technologies, with 54.8% opposing polygenic embryo screening, 69.2% opposing gene editing, and 75.3% opposing brain chip implants, reflecting substantial concerns about altering natural human attributes. The results also indicate that numerous Muslim respondents believe that Allah created humans flawlessly and purposefully, asserting that humanity lacks the authority to alter or amend this creation. A three-pronged governance approach for human enhancement technologies is thus proposed, which encompasses (i) bioethical safeguards, (ii) public engagement and education, and (iii) economic accessibility. It is suggested that the Malaysian government should actively consult relevant stakeholders and various segments of the public before enacting future legislation on these technologies.",Muhsin Sayyed Mohamed; Akbar Mohamed Aslam; Mustari Sohela; Alashaikh Mohammed H; Chin Alexis Heng Boon,2026,Frontiers in sociology,Islamic bioethics / genomic consent — supplementary,pending
40698500,The need of genetic counselling in third world Muslim countries.,,Memon Ahsan Jamal,2025,JPMA. The Journal of the Pakistan Medical Association,Islamic bioethics / genomic consent — supplementary,pending
40259649,"Influence of Consanguinity on Non-communicable Diseases in Settat, Morocco: Exploring Susceptibility to Chronic and Complex Health Conditions.","The prevalence of non-communicable diseases (NCDs) represents a significant global health challenge, accounting for 71% of global deaths. This concern is also widespread in Morocco. Consanguinity, common in Arab and Muslim regions, could influence the genetic predisposition to these diseases. This study aimed to explore the impact of consanguineous marriage (CM) on predisposition to these chronic illnesses among the populace in Settat province, Morocco, concerning prevalent NCDs.  This study was conducted in Settat, Morocco, from April to October 2021 and included 453 married women aged 18 and above. Participants were selected from rural and urban health centers using a two-stage sampling method. The data were collected through structured interviews using a validated questionnaire. Statistical analyses with SPSS 26 assessed associations between consanguinity and NCDs in respondents and their descendants using odds ratios (ORs) and 95% confidence intervals. The participants had a mean age of 38.04 years, with 35% residing in rural areas and 26.7% having a CM. The results indicated that individuals with consanguineous ancestors have a greater risk of contracting NCDs, such as cardiovascular diseases (CVDs) (OR=2.047,  It is essential to integrate the harmful effects of consanguinity on future generations' health into public health policy through genetic counseling, testing, screening, and awareness programs.",El Goundali Khaddouj; Chebabe Milouda; Elkhoudri Noureddine; Hilali Abderraouf,2025,Journal of research in health sciences,Islamic bioethics / genomic consent — supplementary,pending
39946424,The importance of genetic counselling and testing in inherited eye diseases: A population-based retrospective study.,"Inherited eye diseases (IEDs) are among the main causes of visual impairment and blindness in children and young people worldwide. The objective of our study was to characterize the prevalence and distribution of the most common IEDs and causative genes in our population. Retrospective study based on medical records of patients with IEDs who underwent genetic counselling through our multidisciplinary low vision center from 2018 to 2020. Data retrieved from medical files included: year of consultation, age, gender, ethnicity, diagnosis, gene variants and mode of inheritance. 228 patients were included in our study. The most common diagnoses were inherited retinal diseases (IRDs) (41.2%) and albinism (32%). In 2018 and 2019 the number of patients reaching out for genetic counselling was between 50 and 60; this number doubled by 2020. The rate of pathogenic variant detection was 65.3%. The most common genes identified were TYR (29.2%), OCA2 (7.9%), ABCA4 (5.3%), TRPM1 (5.3%) and USH2A (4.4%). Genetic counselling and testing became an essential part of caregiving for patients and families affected by these severe IEDs. The most common IEDs were IRDs in the Muslim population and albinism in the Jewish population. Pathogenic variants in the TYR gene were the most common in our cohort, OCA2 gene was the second in frequency, followed by ABCA4, TRPM1 and USH2A genes. We detected an increasing trend over the studied time in the number of patients reaching out for genetic counselling.",Kaminer Abargel Michal; Macarov Michal; Hendler Karen; Yahalom Claudia,2025,PloS one,Islamic bioethics / genomic consent — supplementary,pending
39575535,Clinical Ethics and the Observant Jewish and Muslim Patient: Shared Theocentric Perspectives in Practice.,"Patients from religious minorities can face unique challenges reconciling their beliefs with the values that undergird Western Medical Ethics. This paper explores homologies between approaches of Orthodox Judaism and Islam to medical ethics, and how these religions' moral codes differ from the prevailing ethos in medicine. Through analysis of religious and biomedical literature, this work examines how Jewish and Muslim religious observances affect decisions about genetic counseling, reproductive health, pediatric medicine, mental health, and end-of-life decisions. These traditions embrace a theocentric rather than an autonomy-based ethics. Central to this conception is the view that life and the body are gifts from God rather than the individual and the primacy of community norms. These insights can help clinicians provide care that aligns Muslim and Jewish patients' health goals with their religious beliefs and cultural values. Finally, dialogue in a medical context between these faith traditions provides an opportunity for rapprochement amidst geopolitical turmoil.",Hossain Fahmida; Gabbay Ezra; Fins Joseph J,2025,Cambridge quarterly of healthcare ethics : CQ : the international journal of healthcare ethics committees,Islamic bioethics / genomic consent — supplementary,pending
39037640,Family-Oriented Living Organ Donation in Bangladesh: A Bioethical Defence.,"This study focuses on issues related to living organ donation for transplantation in Bangladesh. The policy and practice of living organ donation for transplantation in Bangladesh is family-oriented: close relatives (legal and genetic) are the only ones allowed to be living donors. Unrelated donors, altruistic donors (directed and non-directed), and paired/pooled or non-directed altruistic living donor chains-as many of these are implemented in other countries-are not legally allowed to serve as living donors in Bangladesh. This paper presents normative arguments explaining why the family-oriented nature of regulations and practices surrounding living organ donation for transplantation is essential for Bangladesh. In this article, I specifically argue that if the Bangladesh government revises the current biomedical policy robustly beyond relatives and allows unrelated donors to donate organs legally, this may foster organ selling due to the poverty and corruption problems in Bangladesh. The family-oriented requirement of the living organ donation policy and practice is defensible and morally justifiable as it preserves common notions of the family unit and family bonding in Bangladesh. Maintaining the current living-donation regulations and promoting deceased donation is the way forward, as this safely preserves the family values, protects against organ selling, and increases access to organ transplantation.",Siraj S,2024,Journal of bioethical inquiry,Islamic bioethics / genomic consent — supplementary,pending
38745815,Polydactyly-Myopia Syndrome: Genetic and Ophthalmologic Perspectives.,"Polydactyly-myopia syndrome is a rare genetic condition characterized by the co-occurrence of polydactyly and myopia. Herein, we present the case of a 28-year-old Muslim male, born of consanguineous parents, who presented with complaints of diminished vision since childhood. Ophthalmologic examination revealed severe myopia with characteristic fundus changes indicative of high myopia. Additionally, the patient exhibited polydactyly in all limbs, with a positive family history of both polydactyly and myopia. This case underscores the importance of recognizing and managing rare syndromes to provide appropriate genetic counseling and clinical care. Further research is warranted to elucidate the underlying genetic mechanisms and optimize therapeutic strategies for polydactyly-myopia syndrome. Awareness of this syndrome among healthcare providers is essential to facilitate early diagnosis and intervention for affected individuals and their families.",Swaminathan Uma; Daigavane Sachin; Gupta Nivesh,2024,Cureus,Islamic bioethics / genomic consent — supplementary,pending
38586573,Islamic Viewpoints on Opportunistic Sex Selection of IVF Embryos upon doing Preimplantation Genetic Testing for Preventing Genetic Diseases.,"In recent years, preimplantation genetic testing (PGT) of IVF embryos have gained much traction in clinical assisted reproduction for preventing various genetic defects, including Down syndrome. However, such genetic tests inevitably reveal the sex of IVF embryos by identifying the sex (X and Y) chromosomes. In many countries with less stringent IVF regulations, information on the sex of embryos that are tested to be genetically normal is readily shared with patients. This would thus present Muslim patients with unintended opportunities for sex selection based on personal or social biases without any pressing need or valid medical reason. Additionally, there are other patients who claim using PGT for preventing genetic defects as a pretext or ""convenient excuse,"" with a secret intention to do sex selection when it is banned in their home country. Currently, non-medical sex selection is a highly-controversial and hotly debated issue in Islam, because there is generally a strong preference for having sons over daughters due to widespread cultural norms of elderly parents depending on their sons for financial support, as well as the need for male heirs to continue the family lineage within the backdrop of local patriarchal cultures. There is a risk of gender imbalance and social disequilibrium occurring in Islamic societies due to prevalent sex selection. Hence, the question is whether opportunistic sex selection with PGT would contravene Islamic ethics and principles, which will thus be discussed here.",Muhsin Sayyed Mohamed; Arab Shaima Zohair; Chin Alexis Heng Boon,2025,Asian bioethics review,Islamic bioethics / genomic consent — supplementary,pending
38450297,"Islamic perspectives on preconception, prenatal, and perinatal counseling.","With advances in prenatal imaging, genetic testing, and medical treatment of premature neonates, new bioethical challenges have arisen. Many Muslims turn to their faith and religious leaders to help navigate these novel challenges. This article briefly discusses the factors that are involved in religious leaders issuing a fatwa, or religious opinion. Using clinical scenarios, this article reviews the current discourse amongst Islamic scholars and laws in Muslim-majority countries regarding challenging bioethical topics surrounding preconception counseling, antenatal testing and termination of pregnancy, as well as Islamic scholars' attempts to determine a minimum gestational age of viability using primary religious texts, the Quran and hadith. Challenges and shortcomings in the Islamic perspective on these issues are also addressed to highlight areas in which further research should be pursued. A deeper understanding of Islamic religious perspectives on these topics can help clinicians in providing care that is informed by patients' cultural and religious values.",Shoaib Abdullah Bin,2024,Frontiers in pediatrics,Islamic bioethics / genomic consent — supplementary,pending
38047997,Islamic Perspectives on Polygenic Testing and Selection of IVF Embryos (PGT-P) for Optimal Intelligence and Other Non-Disease-Related Socially Desirable Traits.,"In recent years, the genetic testing and selection of IVF embryos, known as preimplantation genetic testing (PGT), has gained much traction in clinical assisted reproduction for preventing transmission of genetic defects. However, a more recent ethically and morally controversial development in PGT is its possible use in selecting IVF embryos for optimal intelligence quotient (IQ) and other non-disease-related socially desirable traits, such as tallness, fair complexion, athletic ability, and eye and hair colour, based on polygenic risk scores (PRS), in what is referred to as PGT-P. Artificial intelligence (AI) and machine learning-based analysis of big data sets collated from genome sequencing of specific human ethnic populations can be used to estimate an individual embryo's likelihood of developing such multifactorial traits by analysing the combination of specific genetic variants within its genome. Superficially, this technique appears compliant with Islamic principles and ethics. Because there is no modification of the human genome, there is no tampering with Allah's creation (taghyīr khalq Allah). Nevertheless, a more critical analysis based on the five maxims of Islamic jurisprudence (qawa'id fiqhiyyah) that are often utilized in discourses on Islamic bioethics, namely qaṣd (intention), yaqın̄ (certainty), ḍarar (injury), ḍarūra (necessity), and `urf (custom), would instead reveal some major ethical and moral flaws of this new medical technology in the selection of non-disease-related socially desirable traits, and its non-compliance with the spirit and essence of Islamic law (shariah). Muslim scholars, jurists, doctors, and biomedical scientists should debate this further and issue a fatwa on this new medical technology platform.",Chin A H B; Al-Balas Q; Ahmad M F; Alsomali N; Ghaly M,2024,Journal of bioethical inquiry,Islamic bioethics / genomic consent — supplementary,pending
37868246,The Influence of Religious Affiliation and Attitudes of Clinical Genetic Testing Among Medical Students in the West Texas Region.,"Genetic counseling is an essential and pertinent field in any society to lower the prevalence of hereditary disorders. However, the desire to undergo counseling and genetic testing varies widely depending on the cultural background and level of scientific literacy of the individual. In this survey, we examine the perspectives of medical students on clinical genetic testing based upon their religious tradition. The total number of participants in the study was 257 (122 male and 135 female) second year medical students at Texas Tech University Health Sciences Center (TTUHSC). The distribution of religious identification (Atheist, Christian, Hindu, Jewish, Muslim, Spiritual/not Affiliated, and Other) among the second-year medical students. The survey was available to students through TTUHSC's Omnibus survey program for a period of two weeks. Most of the second-year medical students interviewed identified as being Christian (67%) with the next highest religious identification being Spiritual/not Affiliated (9%), Atheist (8%), and Muslim (6%). With regards to genetic tests, most of the students (95%), regardless of religious identification, have not used any commercial genetic testing services. Most second year medical students regardless of religious affiliation had similar agreement with questions regarding clinical genetic testing. However, there was a similar drop in agreement when it came on where students would want genetic screening to be performed regularly in clinics/hospitals. Given the numerous factors that must be considered, such as the patient's attitudes, knowledge, and beliefs towards the counseling process and genetic testing, genetic counseling is a challenging problem. Each target population's history, relevant exposure to, and domain expertise must be considered while promoting decision-making in genetic testing.",Kopel Jonathan,2023,Journal of community hospital internal medicine perspectives,Islamic bioethics / genomic consent — supplementary,pending
37761399,Prenatal Diagnosis and Pregnancy Termination in Jewish and Muslim Women with a Deaf Child in Israel.,"Deafness is the most common sensory disability in humans, influencing all aspects of life, However, early diagnosis of hearing impairment and initiating the rehabilitation process are of great importance to enable the development of language and communication as soon as possible. We examined the differences in attitudes towards performing prenatal invasive tests and pregnancy terminations in Jewish and Muslim women in Israel due to deafness. Overall, 953 Israeli women, aged 18-46 years with a mean age of 32.0 (SD = 7.12), were enrolled. Of those, 68.7% were city dwellers and 31.3% were village dwellers, and 60.2% were Muslim women and 39.8% were Jewish women. All participants had a child with a hearing impairment or deafness. The group with no genetic hearing loss performed more prenatal invasive tests and pregnancy terminations than those with genetic hearing loss in both ethnic groups. Jewish women performed more invasive prenatal tests and, consequently, a pregnancy termination. Secular Jewish women more frequently underwent pregnancy terminations due to fetal deafness. Further genetic counseling and information concerning IVF and PGD procedures should be provided to the Muslim population.",Amiel Aliza; Na'amnih Wasef; Tarabeih Mahdi,2023,"Children (Basel, Switzerland)",Islamic bioethics / genomic consent — supplementary,pending
37715869,Prenatal Testing and Pregnancy Termination Among Muslim Women Living in Israel Who Have Given Birth to a Child with a Genetic Disease.,"The aim of the study was to investigate whether a Muslim woman with a child afflicted with a genetic disease who is living at home would perform more prenatal tests and pregnancy terminations as opposed to a woman with a normal child living at home, and what demographic characteristics, if any, influenced this decision. The study included 771 Muslim women; 37.1% lived with a child afflicted with a genetic disease; and 62.9% did not. Muslim women with a child affected with a genetic disease living at home will undergo more prenatal testing and more pregnancy terminations. Village dwellers were more religious and consulted further with a religious authority. More city dwellers underwent prenatal tests and pregnancy terminations and received more health care and genetic counseling. In the villages populated by Muslims, more genetic counselling must be given, accompanied by guidance from religious Muslim authorities.",Amiel Aliza; Tarabeih Mahdi,2023,Journal of religion and health,Islamic bioethics / genomic consent — supplementary,pending
37712502,Lessons learned from the first national population-based genetic carrier-screening program for Duchenne muscular dystrophy.,"To summarize the results of first year implementation of pan-ethnic screening testing for Duchenne muscular dystrophy (DMD) and present the ensuing challenges. Data acquisition for this study was performed by retrospective search of Ministry of Health registry for reports of all laboratories performing genetic screening tests. DMD testing was performed by multiplex ligation-dependent probe amplification technology. In case of single-exon deletion, sequencing of the specific exon was performed to rule out underlying single-nucleotide variant. Of overall 85,737 DMD tests, 82 clinically significant findings were noted (0.095%, or 1:1,046 women). In addition, 80 findings with uncertain clinical significance were detected (0.093%, or 1:1072), as well as 373 cases (0.4%, or 1:230) of single-exon deletions subsequently identified as false positives because of underlying single-nucleotide variant, mostly variants in exon 8 in North African Jewish population, and in exon 48 in Arab Muslim population. Interpretation of population-based DMD carrier screening is complex, occasionally requiring additional genetic testing methods and ethical considerations. Multicenter data registry, including ethnic origin and familial segregation in selected cases, is crucial for optimal definition of the results during genetic counseling and informed decisions regarding prenatal testing.",Singer Amihood; Aartsma-Rus Annemieke; Grinshpun-Cohen Julia; Sagi-Dain Lena,2023,Genetics in medicine : official journal of the American College of Medical Genetics,Islamic bioethics / genomic consent — supplementary,pending
